Numero de Hilos;Ticks;Resultado;
1;29.931;5936,73407859389;
2;10.134;5936,73407859387;
3;12.477;5936,73407859387;
4;17.120;5936,73407859387;
5;29.914;5936,73407859386;
6;30.716;5936,73407859387;
7;28.993;5936,73407859387;
8;27.222;5936,73407859387;
9;51.241;5936,73407859387;
10;47.336;5936,73407859387;
11;58.755;5936,73407859387;
12;109.593;5936,73407859387;
13;80.332;5936,73407859388;
14;108.171;5936,73407859387;
15;116.330;5936,73407859387;
16;95.682;5936,73407859387;
17;104.529;5936,73407859388;
18;80.733;5936,73407859387;
19;110.917;5936,73407859387;
20;93.977;5936,73407859387;
21;77.039;5936,73407859387;
22;138.269;5936,73407859388;
23;158.944;5936,73407859387;
24;132.240;5936,73407859387;
25;104.170;5936,73407859387;
26;107.926;5936,73407859387;
27;104.924;5936,73407859387;
28;117.071;5936,73407859387;
29;246.853;5936,73407859387;
30;158.193;5936,73407859387;
31;128.418;5936,73407859387;
32;131.572;5936,73407859387;
33;144.108;5936,73407859387;
34;124.645;5936,73407859387;
35;163.100;5936,73407859387;
36;348.111;5936,73407859387;
37;153.756;5936,73407859387;
38;173.779;5936,73407859387;
39;258.476;5936,73407859387;
40;176.479;5936,73407859387;
41;224.080;5936,73407859387;
42;187.108;5936,73407859387;
43;173.652;5936,73407859387;
44;242.106;5936,73407859387;
45;193.108;5936,73407859387;
46;208.293;5936,73407859387;
47;305.366;5936,73407859387;
48;252.614;5936,73407859387;
49;240.504;5936,73407859387;
50;199.716;5936,73407859387;